@@335750	##	fo
Only	only	rr
two	two	mc
days	day	nnt2
after	after	ii_cs
Panama	panama	np1
's	's	ge
legislature	legislature	nn1
voted	vote	vvd_vvn
to	to	to
lift	lift	vvi
a	a	at1
19-day	19-day	jj_nnt1
state	state	nn1
of	of	io
emergency	emergency	nn1
last	last	md
week	week	nnt1
,	,	y
the	the	at
government	government	nn1
cracked	crack	vvd_vvn
down	down	rp
again	again	rt
.	.	y
Authorities	authority	nn2
shut	shut	vv0_vvd_vvn
down	down	rp
an	an	at1
opposing	oppose	jj
radio	radio	nn1
station	station	nn1
,	,	y
and	and	cc
armed	armed	jj
men	man	nn2
,	,	y
in	in	rr21_ii
full	full	rr22_jj
view	view	nn1
of	of	io
police	police	nn2
,	,	y
torched	torch	vvd
a	a	at1
building	building	nn1
owned	own	vvn
by	by	ii
a	a	at1
prominent	prominent	jj
member	member	nn1
of	of	io
the	the	at
opposition	opposition	nn1
.	.	y
Thousands	thousands	m
of	of	io
protesters	protester	nn2
thronged	throng	vvd_vvn
the	the	at
streets	street	nn2
of	of	io
the	the	at
capital	capital	nn1
,	,	y
calling	call	vvg
for	for	if
the	the	at
removal	removal	nn1
of	of	io
General	general	nnb
Manuel	manuel	np1
Antonio	antonio	np1
Noriega	noriega	np1
,	,	y
the	the	at
country	country	nn1
's	's	ge
de	de	jj21
facto	facto	jj22
leader	leader	nn1
,	,	y
who	who	pnqs
is	be	vbz
accused	accuse	vvn
of	of	io
corruption	corruption	nn1
and	and	cc
murder	murder	nn1
.	.	y
<P>	<p>	null	
Meanwhile	meanwhile	rr
,	,	y
about	about	rg
2,000	2,000	mc
people	people	nn
attacked	attack	vvd_vvn
the	the	at
U.S.	u.s.-	np1
embassy	embassy	nn1
,	,	y
denouncing	denounce	vvg
a	a	at1
recent	recent	jj
U.S.	u.s.-	np1
Senate	senate	nn1
resolution	resolution	nn1
that	that	cst_dd1
called	call	vvd@_vvn
on	on	ii
Noriega	noriega	np1
to	to	to
step	step	vvi
down	down	rp
.	.	y
The	the	at
State	state	nn1
Department	department	nn1
charged	charge	vvd_vvn
that	that	cst_dd1
Panamanian	panamanian	jj
officials	official	nn2
orchestrated	orchestrate	vvd_vvn
the	the	at
mob	mob	nn1_jj@
attack	attack	nn1
.	.	y
Assistant	assistant	jj_nn1
Secretary	secretary	nn1
of	of	io
State	state	nn1
Elliott	elliott	np1
Abrams	abrams	np1_nn2_vvz
called	call	vvd@_vvn
on	on	ii
Panama	panama	np1
's	's	ge
military	military	jj
leaders	leader	nn2
to	to	to
"	"	"
remove	remove	vvi
their	their	appge
institution	institution	nn1
from	from	ii
politics	politics	nn1
"	"	"
and	and	cc
keep	keep	vv0
the	the	at
politics	politics	nn1
more	more	rgr
democratic	democratic	jj
.	.	y
